epoch,train_loss,train_acc,val_loss,val_acc
1,0.84594,0.73128,0.54749,0.83172
2,0.63788,0.78045,0.50443,0.84754
3,0.60485,0.79158,0.45747,0.85677
4,0.59078,0.79279,0.46697,0.85677
5,0.57238,0.80008,0.45471,0.84622
6,0.57596,0.7981,0.44711,0.85018
7,0.57215,0.79898,0.44753,0.85896
8,0.55821,0.80594,0.43284,0.85896
9,0.55623,0.80644,0.41679,0.86599
10,0.56068,0.79854,0.40329,0.86643
11,0.55229,0.80156,0.4116,0.86555
12,0.5439,0.80764,0.41514,0.86775
13,0.54961,0.80572,0.41975,0.86424
14,0.56262,0.80397,0.42336,0.86643
15,0.54785,0.80539,0.40141,0.86951
